Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,english_aoi_name,Address,English_Address
37,500002235,2,8,"[(116.2957392544003, 39.996337378908386)]",北京市民政维修服务中心周边,Nearby Beijing Civil Affairs Maintenance Service Center,"颐和园路东侧, 距离二龙闸路和颐和园路交叉口东角450m","on the east side of Yiheyuan Road, 450m from the east corner of the junction of Erlongzha Road and Yiheyuan Road"
38,500002274,2,7,"[(116.35884930084505, 40.00886746286834)]",,,"未知路名北侧, 距离科荟路和未知路名交叉口西角250m","on the north side of unknown road, 250m from the west corner of the junction of Ke Hui Bridge and unknown road"
39,500002294,2,-1,"[(116.31197608454933, 40.01721547823136)]",,,"北五环东侧, 距离未知路名和北五环交叉口西角150m","on the east side of North Fifth Ring Road, 150m from the west corner of the junction of unknown road and North Fifth Ring Road"
40,500002338,2,8,"[(116.34590647431978, 39.996885202034015)]",学院路周边,Xueyuan Road Surroundings,"学院路西侧, 距离未知路名和学院路交叉口西南角50m","on the west side of Xueyuan Road, 50m from the southwest corner of the junction of unknown road and Xueyuan Road"
41,500002521,2,8,"[(116.34579012380473, 39.99728670156033)]",学院路周边,Around Xueyuan Road,"学院路西侧, 距离未知路名和学院路交叉口西南角50m以内","on the west side of Xueyuan Road, within 50m from the southwest corner of the junction of unknown road and Xueyuan Road"
42,500002522,2,8,"[(116.3457373621767, 39.99794787802771)]",学院路周边,Near Xueyuan Road,"学院路西侧, 距离学清路和学院路交叉口南角150m","on the west side of Xueyuan Road, 150m from the south corner of the junction of Tsinghua East Road and Xueyuan Road"
43,500002523,2,8,"[(116.345735406864, 39.998344360616215)]",,,"学院路西侧, 距离学清路和学院路交叉口西南角100m","on the west side of Xueyuan Road, 100m from the southwest corner of the junction of Tsinghua East Road and Xueyuan Road"
44,500002843,2,8,"[(116.31027278124583, 40.00198102239305)]",清华大学西门,West Gate of Tsinghua University,"中关村北大街南侧, 距离清华西路和中关村北大街交叉口北角500m","on the south side of Zhongguancun North Street, 500m from the north corner of the junction of Tsinghua West Road and Zhongguancun North Street"
45,500002946,2,7,"[(116.34520305000001, 40.001424899999996)]",,,"学清路西侧, 距离石板房南路和学清路交叉口南角500m","on the west side of Xueqing Road, 500m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
46,500002947,2,7,"[(116.34522317397749, 40.00108900113816)]",,,"学清路西侧, 距离石板房南路和学清路交叉口南角550m","on the west side of Xueqing Road, 550m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
47,500002948,2,7,"[(116.34592322232815, 40.00107609562271)]",,,"学清路南侧, 距离石板房南路和学清路交叉口南角550m","on the south side of Xueqing Road, 550m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
48,500002949,2,7,"[(116.3451802238288, 40.001764900998054)]",学院路14号院周边,Nearby No. 14 College Road,"学清路西侧, 距离石板房南路和学清路交叉口南角450m","on the west side of Xueqing Road, 450m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
49,500002950,2,7,"[(116.34593357788538, 40.001902618305294)]",学院路周边,College Road Nearby,"学清路南侧, 距离石板房南路和学清路交叉口南角450m","on the south side of Xueqing Road, 450m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
50,500002951,2,7,"[(116.34583739999998, 40.0023279)]",学院路周边,College Road Surroundings,"学清路西侧, 距离石板房南路和学清路交叉口南角400m","on the west side of Xueqing Road, 400m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
51,500002952,2,7,"[(116.34580477594012, 40.00293896822763)]",静淑东里北区,Jingshudongli North District,"学清路南侧, 距离石板房南路和学清路交叉口南角300m","on the south side of Xueqing Road, 300m from the south corner of the junction of North Road of Forestry University and Xueqing Road"
52,500003014,2,8,"[(116.34176624785852, 39.9935621691975)]",北京语言大学校园,Beijing Language University Campus,"学院路西侧, 距离未知路名和学院路交叉口西南角250m","on the west side of Xueyuan Road, 250m from the southwest corner of the junction of unknown road and Xueyuan Road"
53,500003654,2,7,"[(116.33013546239884, 39.99497729296174)]",西王庄社区,Xiwangzhuang Community,"荷清路南侧, 距离东升南路和荷清路交叉口北角600m","on the south side of Heqing Road, 600m from the north corner of the junction of Chengfu Road and Heqing Road"
54,500003774,2,8,"[(116.34472555, 39.998842100000005)]",成都,Chengdu,"清华东路南侧, 距离王庄路和清华东路交叉口东角900m","on the south side of Tsinghua East Road, 900m from the east corner of the junction of Shuangqing Road and Tsinghua East Road"
55,500003785,2,7,"[(116.35914045686441, 40.010147454604585)]",,,"G6辅路东侧, 距离未知路名和G6辅路交叉口北角150m","on the east side of G6 Auxiliary Road, 150m from the north corner of the junction of unknown road and G6 Auxiliary Road"
56,500003786,2,7,"[(116.35929291396761, 40.010586048821935)]",,,"G6辅路东侧, 距离未知路名和G6辅路交叉口北角200m","on the east side of G6 Auxiliary Road, 200m from the north corner of the junction of unknown road and G6 Auxiliary Road"
57,500003790,2,7,"[(116.35991799416611, 40.010500873102146)]",,,"G6辅路东侧, 距离未知路名和G6辅路交叉口东北角150m","on the east side of G6 Auxiliary Road, 150m from the northeast corner of the junction of unknown road and G6 Auxiliary Road"
58,500004473,2,8,"[(116.35194936109666, 39.99335812426508)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角550m","on the west side of Zhixin Road, 550m from the west corner of the junction of Zhixin West Road and Zhixin Road"
59,500004474,2,7,"[(116.35197741577578, 39.99283447450846)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角550m","on the west side of Zhixin Road, 550m from the west corner of the junction of Zhixin West Road and Zhixin Road"
60,500004475,2,7,"[(116.35243419999999, 39.992855899999995)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角500m","on the west side of Zhixin Road, 500m from the west corner of the junction of Zhixin West Road and Zhixin Road"
61,500004476,2,7,"[(116.35296385000001, 39.99288079999999)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角450m","on the west side of Zhixin Road, 450m from the west corner of the junction of Zhixin West Road and Zhixin Road"
62,500004477,2,7,"[(116.353375, 39.992899799999996)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角450m","on the west side of Zhixin Road, 450m from the west corner of the junction of Zhixin West Road and Zhixin Road"
63,500004478,2,8,"[(116.35304810923466, 39.99342421064326)]",,,"志新路北侧, 距离志新西路和志新路交叉口西角450m","on the north side of Zhixin Road, 450m from the west corner of the junction of Zhixin West Road and Zhixin Road"
64,500004483,2,7,"[(116.35531517602074, 39.99255949850143)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角250m","on the west side of Zhixin Road, 250m from the west corner of the junction of Zhixin West Road and Zhixin Road"
65,500004484,2,8,"[(116.35437582356492, 39.99398525087658)]",,,"志新路西侧, 距离志新西路和志新路交叉口西北角300m","on the west side of Zhixin Road, 300m from the northwest corner of the junction of Zhixin West Road and Zhixin Road"
66,500004485,2,8,"[(116.35447600670078, 39.99330347221829)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角300m","on the west side of Zhixin Road, 300m from the west corner of the junction of Zhixin West Road and Zhixin Road"
67,500004486,2,7,"[(116.3540472758463, 39.992907298482294)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角350m","on the west side of Zhixin Road, 350m from the west corner of the junction of Zhixin West Road and Zhixin Road"
68,500004487,2,7,"[(116.354810857782, 39.992945018641386)]",,,"志新路东侧, 距离志新西路和志新路交叉口西角350m","on the east side of Zhixin Road, 350m from the west corner of the junction of Zhixin West Road and Zhixin Road"
69,500004488,2,8,"[(116.35607028661654, 39.9940232730855)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角650m","on the west side of Zhixin West Road, 650m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
70,500004489,2,8,"[(116.35612193873067, 39.993364220754955)]",,,"志新路东侧, 距离志新西路和志新路交叉口西北角250m","on the east side of Zhixin Road, 250m from the northwest corner of the junction of Zhixin West Road and Zhixin Road"
71,500004490,2,7,"[(116.35576630097849, 39.99297122427852)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角200m","on the west side of Zhixin Road, 200m from the west corner of the junction of Zhixin West Road and Zhixin Road"
72,500004491,2,7,"[(116.35603250077399, 39.992570073410356)]",,,"志新路东侧, 距离志新西路和志新路交叉口西角250m","on the east side of Zhixin Road, 250m from the west corner of the junction of Zhixin West Road and Zhixin Road"
73,500004492,2,7,"[(116.35654835, 39.992997349999996)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角150m","on the west side of Zhixin Road, 150m from the west corner of the junction of Zhixin West Road and Zhixin Road"
74,500004493,2,7,"[(116.35684417331049, 39.992608301086044)]",,,"志新路西侧, 距离志新西路和志新路交叉口西角100m","on the west side of Zhixin Road, 100m from the west corner of the junction of Zhixin West Road and Zhixin Road"
75,500004494,2,7,"[(116.35735805, 39.99302805)]",,,"志新路西侧, 距离志新西路和志新路交叉口西北角100m","on the west side of Zhixin Road, 100m from the northwest corner of the junction of Zhixin West Road and Zhixin Road"
76,500004495,2,7,"[(116.35767115000002, 39.99263055000001)]",,,"志新路东侧, 距离志新西路和志新路交叉口西角100m","on the east side of Zhixin Road, 100m from the west corner of the junction of Zhixin West Road and Zhixin Road"
77,500004496,2,7,"[(116.35845722579214, 39.992710450153254)]",北京二里庄商务区北区,Beijing Erlizhuang Business District North区,"志新西路西侧, 距离清华东路和志新西路交叉口南角800m","on the west side of Zhixin West Road, 800m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
78,500004497,2,7,"[(116.3583558839942, 39.993063976123175)]",志新路西区,Zhixin Road West District,"志新西路西侧, 距离清华东路和志新西路交叉口南角750m","on the west side of Zhixin West Road, 750m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
79,500004498,2,7,"[(116.35830675000001, 39.993460199999994)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角700m","on the west side of Zhixin West Road, 700m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
80,500004499,2,7,"[(116.35829430000001, 39.993904050000005)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角650m","on the west side of Zhixin West Road, 650m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
81,500004500,2,7,"[(116.35746986586996, 39.99444537237262)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角600m","on the west side of Zhixin West Road, 600m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
82,500004501,2,7,"[(116.35746789140286, 39.9947672251509)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角550m","on the west side of Zhixin West Road, 550m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
83,500004502,2,7,"[(116.35744727350357, 39.995094951157284)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角500m","on the west side of Zhixin West Road, 500m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
84,500004503,2,7,"[(116.35743845000002, 39.9954095)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角450m","on the west side of Zhixin West Road, 450m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
85,500004504,2,7,"[(116.35724165, 39.995727349999996)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角450m","on the west side of Zhixin West Road, 450m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
86,500004505,2,7,"[(116.35803899999999, 39.99474115)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角550m","on the west side of Zhixin West Road, 550m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
87,500004506,2,7,"[(116.358128, 39.9943874)]",学院路石油大院社区周边,Nearby Xueyuan Road Shiyouda Courtyard Community,"志新西路西侧, 距离清华东路和志新西路交叉口南角600m","on the west side of Zhixin West Road, 600m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
88,500004507,2,7,"[(116.35845875000003, 39.99492359999999)]",,,"志新西路南侧, 距离清华东路和志新西路交叉口南角500m","on the south side of Zhixin West Road, 500m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
89,500004508,2,7,"[(116.35828559442129, 39.995427313855956)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角450m","on the west side of Zhixin West Road, 450m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
90,500004509,2,7,"[(116.35824954844519, 39.99610528062091)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角400m","on the west side of Zhixin West Road, 400m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
91,500004510,2,7,"[(116.35812339873715, 39.9966828073322)]",中国石油北区,China Petroleum North District,"志新西路南侧, 距离清华东路和志新西路交叉口南角300m","on the south side of Zhixin West Road, 300m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
92,500004511,2,7,"[(116.35826257632186, 39.998059373725276)]",北京市市政一建设工程有限责任公司,"Beijing Municipal Municipal Construction Engineering Co., Ltd.","志新西路北侧, 距离清华东路和志新西路交叉口南角200m","on the north side of Zhixin West Road, 200m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
93,500004512,2,7,"[(116.35766126745283, 39.99785675634562)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角200m","on the west side of Zhixin West Road, 200m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
94,500004513,2,7,"[(116.3577698, 39.99827385)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角150m","on the west side of Zhixin West Road, 150m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
95,500004535,2,7,"[(116.35980942435647, 39.99852322030387)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角650m","on the east side of Zhixin West Road, 650m from the north corner of the junction of Zhixin Road and Zhixin West Road"
96,500004536,2,7,"[(116.35981293670801, 39.99817043865163)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角600m","on the east side of Zhixin West Road, 600m from the north corner of the junction of Zhixin Road and Zhixin West Road"
97,500004537,2,7,"[(116.35912528982907, 39.99805703176475)]",二里庄西区,Erli Zhuang West District,"志新西路北侧, 距离清华东路和志新西路交叉口南角200m","on the north side of Zhixin West Road, 200m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
98,500004538,2,7,"[(116.35918505343975, 39.997621923080324)]",,,"志新西路东侧, 距离清华东路和志新西路交叉口南角250m","on the east side of Zhixin West Road, 250m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
99,500004539,2,7,"[(116.35967477797632, 39.99761272566152)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角550m","on the east side of Zhixin West Road, 550m from the north corner of the junction of Zhixin Road and Zhixin West Road"
100,500004556,2,7,"[(116.35623455508258, 39.99545382684624)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角500m","on the west side of Zhixin West Road, 500m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
101,500004557,2,7,"[(116.35622350000001, 39.99577745)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口西南角450m","on the west side of Zhixin West Road, 450m from the southwest corner of the junction of Tsinghua East Road and Zhixin West Road"
102,500004558,2,7,"[(116.35616798814871, 39.99611537590286)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口西南角400m","on the west side of Zhixin West Road, 400m from the southwest corner of the junction of Tsinghua East Road and Zhixin West Road"
103,500004559,2,7,"[(116.35739388052073, 39.997144420295875)]",,,"志新西路西侧, 距离清华东路和志新西路交叉口南角300m","on the west side of Zhixin West Road, 300m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
104,500004560,2,7,"[(116.35798119566036, 39.99729043999756)]",学院路周边,Academy Road Surroundings,"志新西路西侧, 距离清华东路和志新西路交叉口南角300m","on the west side of Zhixin West Road, 300m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
105,500004561,2,7,"[(116.35980759234847, 39.99726587803755)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角500m","on the east side of Zhixin West Road, 500m from the north corner of the junction of Zhixin Road and Zhixin West Road"
106,500004562,2,7,"[(116.35981558591038, 39.99692834551293)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角500m","on the east side of Zhixin West Road, 500m from the north corner of the junction of Zhixin Road and Zhixin West Road"
107,500004563,2,7,"[(116.35933937945953, 39.99577192798336)]",,,"志新西路东侧, 距离清华东路和志新西路交叉口南角450m","on the east side of Zhixin West Road, 450m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
108,500004564,2,7,"[(116.35964058398179, 39.99272306139112)]",北京中关村科技园区,Beijing Zhongguancun Science Park,"志新西路东侧, 距离清华东路和志新西路交叉口南角800m","on the east side of Zhixin West Road, 800m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
109,500004565,2,7,"[(116.3596319283529, 39.99324741885376)]",中核中原大楼,Zhongyuan Building in China National Nuclear Corporation Area,"志新西路东侧, 距离清华东路和志新西路交叉口南角700m","on the east side of Zhixin West Road, 700m from the south corner of the junction of Tsinghua East Road and Zhixin West Road"
110,500004568,2,7,"[(116.35982183476195, 39.996576315192485)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角450m","on the east side of Zhixin West Road, 450m from the north corner of the junction of Zhixin Road and Zhixin West Road"
111,500004569,2,7,"[(116.35985117794968, 39.99613444895918)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角400m","on the east side of Zhixin West Road, 400m from the north corner of the junction of Zhixin Road and Zhixin West Road"
112,500004571,2,7,"[(116.35943799031175, 39.99538445201504)]",中关村,Zhongguancun,"志新西路北侧, 距离志新路和志新西路交叉口北角300m","on the north side of Zhixin West Road, 300m from the north corner of the junction of Zhixin Road and Zhixin West Road"
113,500004578,2,7,"[(116.35967799110225, 39.99506948667472)]",,,"志新西路东侧, 距离志新路和志新西路交叉口北角250m","on the east side of Zhixin West Road, 250m from the north corner of the junction of Zhixin Road and Zhixin West Road"
114,500004791,2,7,"[(116.3126656572742, 40.01253886509481)]",中关村,Zhongguancun,"中关村北大街北侧, 距离荷清路和中关村北大街交叉口北角50m","on the north side of Zhongguancun North Street, 50m from the north corner of the junction of Heqing Road and Zhongguancun North Street"
115,500004792,2,7,"[(116.3135997730665, 40.01319741628185)]",,,"中关村北大街东侧, 距离荷清路和中关村北大街交叉口东北角150m","on the east side of Zhongguancun North Street, 150m from the northeast corner of the junction of Heqing Road and Zhongguancun North Street"
