Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,english_aoi_name,Address
16,500000055,2,8,"[(116.3596628953958, 39.96026321014977)]",北京师范大学,Beijing Normal University,"新街口外大街西侧, 距离师大北路和新街口外大街交叉口西南角100m"
17,500000056,2,7,"[(116.36851787143758, 39.964852047982276)]",双秀公园,Shuangxiu Park,"北三环南侧, 距离未知路名和北三环交叉口南角50m"
18,500000070,2,7,"[(116.29530106560378, 39.99029610976727)]",畅春新园体育休闲广场,Changchun Xinyuan Sports and Leisure Square,"芙蓉北路西侧, 距离万泉河路和芙蓉北路交叉口东北角300m"
19,500000071,2,7,"[(116.32764418479465, 39.99102255100954)]",五道口北区,Wudaokou North District,"中关村东路东侧, 距离东升南路和中关村东路交叉口北角500m"
20,500000072,2,5,"[(116.33308532319775, 39.99060731572454)]",五道口东区,Wudaokou East District,"成府路南侧, 距离荷清路和成府路交叉口东南角150m"
21,500000073,2,5,"[(116.32775351882012, 39.99237956537657)]",中关村东区,Zhongguancun East District,"中关村东路东侧, 距离成府路和中关村东路交叉口东北角100m"
22,500000087,2,8,"[(116.32462990643737, 39.99326671960372)]",清华科技园北区,Qinghua Science and Technology Park North Area,"成府路北侧, 距离中关村东路和成府路交叉口西北角50m以内"
23,500000098,2,8,"[(116.38709716150679, 40.01979733796781)]",北京奥林匹克公园,Beijing Olympic Park,"林萃路东侧, 距离科荟路和林萃路交叉口东北角100m"
24,500000116,2,8,"[(116.32981965208764, 39.961430036574)]",北方交通大学附属中学,Beifang Jiaotong University Affiliated Middle School,"皂君庙路北侧, 距离北三环西路和皂君庙路交叉口南角550m"
25,500000123,2,8,"[(116.32833695930252, 40.01520658103999)]",东升八家郊野公园北区,Dongsheng Eight Family Park North District,"后八家路西侧, 距离毛纺路和后八家路交叉口西北角250m"
26,500000124,2,7,"[(116.33471658535636, 40.01909739239114)]",东升八家郊野公园东区,Dongsheng Bajia Countryside Park East区,"北五环南侧, 距离未知路名和北五环交叉口东南角650m"
27,500000125,2,8,"[(116.32936419743768, 39.9705276342768)]",大钟寺北区,Dazhongsi North District,"中关村东路北侧, 距离北三环西路和中关村东路交叉口北角300m"
28,500000126,2,7,"[(116.33198829715427, 39.96782618154303)]",大钟寺南区,Dazhongsi South District,"北三环北侧, 距离未知路名和北三环交叉口西角900m"
29,500000149,2,5,"[(116.31954989055008, 39.983068608084004)]",融科商业区,Rongke Business District,"科学院南路东侧, 距离中关村南路和科学院南路交叉口北角350m"
30,500000150,2,8,"[(116.31308978124643, 39.96233206624136)]",北京友谊宾馆北区,Beijing Friendship Hotel North Area,"中关村南大街西侧, 距离北三环西路和中关村南大街交叉口西南角200m"
31,500000151,2,5,"[(116.31703143642495, 39.96487654983593)]",中关村南区,Zhongguancun South Area,"北三环西路南侧, 距离未知路名和北三环西路交叉口东南角150m"
32,500000152,2,7,"[(116.32978790012105, 39.967931491612305)]",金五星购物广场东,Golden Five Star Shopping Plaza East,"北三环北侧, 距离未知路名和北三环交叉口西角1100m"
33,500000153,2,5,"[(116.31742144580815, 39.963404964158435)]",中电信息大厦北区,North District of Zhongdian Information Building,"中关村南大街东侧, 距离魏公村路和中关村南大街交叉口北角800m"
34,500000163,2,8,"[(116.36060288853015, 40.02453057446045)]",奥园体育俱乐部,Aoyuan Sports Club,"林萃路西侧, 距离未知路名和林萃路交叉口西南角550m"
35,500000164,2,8,"[(116.37221331623259, 40.019256619063725)]",奥林匹克森林公园国家网球中心,Olympic Forest Park National Tennis Center,"奥林西路西侧, 距离科荟路和奥林西路交叉口西北角1300m"
36,500000165,2,7,"[(116.37455863150163, 40.00684517074554)]",国奥村北区,Guo'ao Village North District,"科荟南路北侧, 距离林萃路和科荟南路交叉口东北角450m"
37,500000166,2,8,"[(116.37278933390719, 39.99009546357888)]",中国音乐学院,China Conservatory of Music,"G6辅路东侧, 距离未知路名和G6辅路交叉口北角250m"
38,500000168,2,7,"[(116.27646137958018, 40.026213543293586)]",中国农业大学西校区,West Campus of China Agricultural University,"圆明园西路北侧, 距离农大南路和圆明园西路交叉口北角150m"
39,500000169,2,8,"[(116.27223873426098, 40.00594503978181)]",中共中央党校,Central Party School of the Communist Party of China,"颐和园路北侧, 距离宫门前街和颐和园路交叉口西北角300m"
40,500000187,2,7,"[(116.34201500142106, 40.02337741625635)]",清河四街小区北区,Qinghe Si Street Community North District,"未知路名北侧, 距离未知路名和未知路名交叉口西角450m"
41,500000188,2,8,"[(116.35093783900493, 40.00301529569728)]",中国农业大学东校区,China Agricultural University East Campus,"石板房南路南侧, 距离未知路名和石板房南路交叉口西南角150m"
42,500000189,2,7,"[(116.36621118094513, 40.003329906690986)]",北沙滩西区,Beishatan West District,"林萃路北侧, 距离大屯路和林萃路交叉口西北角50m以内"
43,500000196,2,5,"[(116.32819652045298, 40.02878633076298)]",五彩城购物中心,Wucai City Shopping Center,"未知路名西侧, 距离毛纺路和未知路名交叉口西角100m"
44,500000197,2,7,"[(116.32137974967597, 40.02774666055356)]",朱房村北区,Zhufangcun North District,"朱房路西侧, 距离清河中街和朱房路交叉口西南角200m"
45,500000198,2,7,"[(116.31998375524145, 40.02342560916955)]",,,"京新高速东侧, 距离未知路名和京新高速交叉口东南角150m"
46,500000227,2,5,"[(116.30031323014315, 39.98055271532039)]",北京中关村西区,Beijing Zhongguancun West Zone,"海淀大街南侧, 距离彩和坊路和海淀大街交叉口西角150m"
47,500000228,2,5,"[(116.29846232223582, 39.98296887578807)]",北京中关村科技园区,Beijing Zhongguancun Science Park,"苏州街西侧, 距离北四环西路辅路和苏州街交叉口西南角50m"
48,500000229,2,5,"[(116.33900691050384, 39.96526323596067)]",,,"北三环西路南侧, 距离未知路名和北三环西路交叉口东南角50m"
49,500000245,2,8,"[(116.33127284130694, 39.96130232330681)]",皂君庙北区,Zaojun Temple North District,"皂君庙路南侧, 距离学院南路和皂君庙路交叉口北角600m"
50,500000246,2,7,"[(116.39943047238232, 39.988479495757105)]",北辰五洲皇冠国际酒店,Beichen Wuzhou Crown International Hotel,"未知路名北侧, 距离安定路和未知路名交叉口西角150m"
51,500000247,2,8,"[(116.39808590030289, 39.99034427874225)]",北辰东路8号院周边,Beichen East Road No.8 Courtyard Surrounding,"慧忠路南侧, 距离北辰东路和慧忠路交叉口东南角200m"
52,500000250,2,8,"[(116.32977493023247, 39.99739013214349)]",学研大厦,Xueyan Building,"荷清路西侧, 距离清华东路和荷清路交叉口西南角150m"
53,500000252,2,7,"[(116.33748266479034, 39.97633743554913)]",知春路周边,Zhichun Road Surroundings,"大运村路东侧, 距离知春路和大运村路交叉口北角100m"
54,500000266,2,7,"[(116.33704775, 39.97410795)]",知春路周边,Zhichunlu Surrounding Area,"未知路名南侧, 距离未知路名和未知路名交叉口东南角50m"
55,500000279,2,7,"[(116.31681528579355, 39.96243897958561)]",银海大厦,Yinhai Building,"中关村南大街北侧, 距离魏公村路和中关村南大街交叉口北角700m"
56,500000280,2,7,"[(116.31693859766784, 39.961527618799664)]",农影小区,Nongying Community,"中关村南大街北侧, 距离魏公村路和中关村南大街交叉口北角600m"
57,500000282,2,5,"[(116.31730919469551, 39.964062725795905)]",华宇时尚购物中心,Huayu Fashion Shopping Center,"中关村南大街东侧, 距离魏公村路和中关村南大街交叉口北角950m"
58,500000283,2,5,"[(116.3165999230407, 39.963530868404966)]",中电信息大厦南区,South Area of China Electronics Information Plaza,"中关村南大街东侧, 距离魏公村路和中关村南大街交叉口北角850m"
59,500000284,2,7,"[(116.31699389288165, 39.96071174261075)]",中关村西区,Zhongguancun West区,"中关村南大街南侧, 距离魏公村路和中关村南大街交叉口北角600m"
60,500000285,2,8,"[(116.2800802003963, 40.00255592834942)]",国际关系学院北区,International Relations College North Section,"圆明园西路南侧, 距离圆明园西路和圆明园西路交叉口南角400m"
61,500000293,2,7,"[(116.38046058640866, 39.98809375889111)]",盘古大观北区,Pangu Grand View North District,"北辰西路西侧, 距离北辰西路和北辰西路交叉口西南角150m"
62,500000307,2,8,"[(116.2900859389821, 39.97346848817759)]",巴沟北区,Bagou North District,"巴沟路西侧, 距离巴沟路和巴沟路交叉口西角150m"
63,500000340,2,8,"[(116.29412755180142, 39.97656042335694)]",,,"万泉河路南侧, 距离未知路名和万泉河路交叉口南角200m"
64,500000350,2,7,"[(116.35933533092258, 39.99886123659757)]",二里庄北区,Erli Zhuang North District,"志新西路北侧, 距离志新路和志新西路交叉口北角650m"
65,500000352,2,5,"[(116.30934664316806, 39.98201336596277)]",海龙大厦,Hailong Building,"海淀大街北侧, 距离未知路名和海淀大街交叉口西北角50m"
66,500000353,2,5,"[(116.31141531814474, 39.98206727521313)]",中关村东区,Zhongguancun East District,"中关村大街东侧, 距离中关村南路和中关村大街交叉口北角250m"
67,500000360,2,7,"[(116.33475498711753, 39.97565544076188)]",,,"知春路北侧, 距离大运村路和知春路交叉口西角250m"
68,500000361,2,7,"[(116.33563627622843, 39.974710420651874)]",,,"知春路西侧, 距离大钟寺东路和知春路交叉口东角400m"
69,500000362,2,7,"[(116.33346665425479, 39.98148875832113)]",,,"大运村路西侧, 距离未知路名和大运村路交叉口南角300m"
70,500000363,2,-1,"[(116.32336057756008, 39.984605015262105)]",,,"北四环西路西侧, 距离中关村南三街和北四环西路交叉口东角200m"
71,500000365,2,5,"[(116.333397492888, 39.985571920943215)]",北京排水集团京包泵站北区,Beijing Drainage Group Jingbao Pumping Station North District,"北四环中路西侧, 距离未知路名和北四环中路交叉口西角400m"
72,500000366,2,7,"[(116.3327048, 39.97613315)]",,,"知春路东侧, 距离大运村路和知春路交叉口西角450m"
73,500000367,2,7,"[(116.33366989714752, 39.98364728639137)]",五道口西区,Wudaokou West District,"大运村路北侧, 距离知春路和大运村路交叉口北角900m"
74,500000368,2,7,"[(116.33380926018546, 39.98220775628039)]",中关村北区,Zhongguancun North Area,"大运村路西侧, 距离未知路名和大运村路交叉口南角250m"
75,500000369,2,7,"[(116.33430784278772, 39.98006422013439)]",,,"大运村路南侧, 距离知春路和大运村路交叉口西北角650m"
76,500000370,2,7,"[(116.33437689623042, 39.981008845363846)]",,,"大运村路北侧, 距离知春路和大运村路交叉口北角650m"
77,500000371,2,7,"[(116.33506951643095, 39.97660271806907)]",大运村北区,Dayuncun North District,"大运村路南侧, 距离知春路和大运村路交叉口西北角300m"
78,500000372,2,8,"[(116.33582062238897, 39.97731427056829)]",,,"大运村路东侧, 距离知春路和大运村路交叉口西北角250m"
79,500000373,2,7,"[(116.33882445045627, 39.97610200291009)]",北京丽亭华苑酒店,Beijing Liting Huayuan Hotel,"知春路北侧, 距离西土城路和知春路交叉口西角750m"
80,500000374,2,7,"[(116.33553685645354, 39.97626543354984)]",,,"大运村路南侧, 距离知春路和大运村路交叉口西北角250m"
81,500000375,2,7,"[(116.33448211208311, 39.97677294757795)]",知春路周边,Zhichunlu Surrounding Area,"大运村路南侧, 距离未知路名和大运村路交叉口南角800m"
82,500000376,2,7,"[(116.3345907475098, 39.97614028150048)]",,,"大运村路西侧, 距离未知路名和大运村路交叉口南角900m"
83,500000377,2,7,"[(116.3358297, 39.975462650000004)]",,,"知春路西侧, 距离大运村路和知春路交叉口西角100m"
84,500000378,2,7,"[(116.33453575707019, 39.97466092516171)]",,,"知春路南侧, 距离大钟寺东路和知春路交叉口东角200m"
85,500000379,2,7,"[(116.3336676047791, 39.97465104890185)]",知春路周边,Zhichunlu Surroundings,"知春路南侧, 距离大钟寺东路和知春路交叉口东角150m"
86,500000391,2,-1,"[(116.31104188966455, 40.01707271791737)]",,,"北五环东侧, 距离未知路名和北五环交叉口西角250m"
87,500000392,2,6,"[(116.28446221895528, 39.997608903756905)]",西苑地铁站南区,Xiyuan Subway Station South Area,"颐和园路北侧, 距离同庆街和颐和园路交叉口东角50m"
88,500000393,2,7,"[(116.33137594297601, 39.99248852423436)]",五道口南区,Wudaokou South District,"荷清路南侧, 距离成府路和荷清路交叉口东北角150m"
89,500000394,2,8,"[(116.27653215000002, 39.99671365)]",,,"未知路名北侧, 距离宫门前街和未知路名交叉口北角50m以内"
90,500000395,2,8,"[(116.27616248750361, 39.996683935859615)]",,,"宫门前街南侧, 距离颐和园路和宫门前街交叉口南角450m"
91,500000397,2,8,"[(116.28938988568618, 39.99822277647893)]",西苑北区,Xiyuan North District,"颐和园路西侧, 距离万泉河路和颐和园路交叉口北角250m"
92,500000398,2,8,"[(116.26772930299254, 40.004315847525234)]",,,"颐和园路北侧, 距离颐和园路和颐和园路交叉口北角250m"
93,500000399,2,8,"[(116.2697830433041, 40.00172511694221)]",,,"颐和园路东侧, 距离宫门前街和颐和园路交叉口西角600m"
94,500000400,2,8,"[(116.26874498988391, 40.00128945963351)]",,,"颐和园路西侧, 距离宫门前街和颐和园路交叉口西角600m"
95,500000401,2,8,"[(116.2708044067463, 40.00151807476439)]",北宫门地铁站,Beigongmen Subway Station,"颐和园路东侧, 距离宫门前街和颐和园路交叉口西角500m"
96,500000412,2,8,"[(116.29266882324829, 39.9772542709275)]",中关村,Zhongguancun,"未知路名南侧, 距离北四环西路和未知路名交叉口南角200m"
97,500000413,2,5,"[(116.32980130793915, 39.9746190143805)]",知春路周边,Zhichunlu Surrounding Area,"知春路西侧, 距离中关村东路和知春路交叉口东角200m"
98,500000418,2,5,"[(116.32853887625278, 39.97473141487778)]",知春路周边,Zhichun Road Surroundings,"知春路西侧, 距离中关村东路和知春路交叉口东南角100m"
99,500000419,2,5,"[(116.32855370899311, 39.97426507266716)]",金谷园南区,Jingu Park South District,"中关村东路东侧, 距离北三环西路和中关村东路交叉口北角850m"
100,500000420,2,8,"[(116.33843336302166, 40.004106800213215)]",中国科学院半导体研究所,Chinese Academy of Sciences Semiconductor Research Institute,"林业大学北路南侧, 距离静淑苑路和林业大学北路交叉口西南角300m"
101,500000437,2,7,"[(116.39193472686533, 39.96790138064496)]",北京福建大厦,Beijing Fujian Building,"北三环中路西侧, 距离未知路名和北三环中路交叉口西角200m"
102,500000439,2,8,"[(116.28797833956526, 39.973263047799854)]",巴沟地铁站南区,Bagou Subway Station South Area,"巴沟路北侧, 距离蓝靛厂北路和巴沟路交叉口东北角650m"
103,500000473,2,5,"[(116.26396856711578, 40.01649789460052)]",安河桥北区,Anheqiaobei Area,"天秀路南侧, 距离黑山扈路和天秀路交叉口东南角200m"
104,500000487,2,7,"[(116.29302688466537, 39.97005482550342)]",北京万泉新新家园,Beijing Wanquan Xinxin Home,"万柳中路东侧, 距离万泉庄路和万柳中路交叉口东北角200m"
105,500000488,2,8,"[(116.29154842730729, 39.97246116973529)]",,,"万柳中路东侧, 距离万泉庄路和万柳中路交叉口北角550m"
106,500000489,2,8,"[(116.2940999061116, 39.97253747850199)]",,,"万泉河路西侧, 距离未知路名和万泉河路交叉口南角250m"
107,500000490,2,-1,"[(116.29280247592236, 39.9725761275377)]",,,"巴沟路南侧, 距离巴沟路和巴沟路交叉口南角50m以内"
108,500000537,2,8,"[(116.26065094882038, 40.01679636672693)]",,,"黑山扈路北侧, 距离未知路名和黑山扈路交叉口北角600m"
109,500000546,2,7,"[(116.27577029184545, 39.96429636043715)]",蓝靛厂观山园,Lan Dian Chang Guan Shan Yuan,"蓝靛厂中路西侧, 距离老营房路和蓝靛厂中路交叉口北角350m"
110,500000547,2,7,"[(116.28239650062957, 39.961763077582376)]",蓝靛厂晴波园北区,Lantianchang Qingbo Park North District,"老营房路北侧, 距离蓝靛厂北路和老营房路交叉口西角300m"
111,500000548,2,8,"[(116.27946531790231, 39.96449146248364)]",蓝靛厂晴波园南区,Lan Dian Chang Qing Bo Yuan South District,"蓝靛厂中路东侧, 距离老营房路和蓝靛厂中路交叉口北角350m"
112,500000549,2,7,"[(116.27953393377025, 39.96156170336037)]",蓝靛厂翠叠园,Lantian Factory Cui Dieyuan,"老营房路北侧, 距离蓝靛厂北路和老营房路交叉口西角450m"
113,500000550,2,7,"[(116.275969804107, 39.961432046317704)]",春荫园南区,Chun Yinyuan South District,"老营房路东侧, 距离蓝靛厂中路和老营房路交叉口西北角300m"
114,500000552,2,8,"[(116.27275120436853, 39.9611843169371)]",烟树园小区南区,Yanshuyuan Residential Area South District,"老营房路北侧, 距离蓝靛厂西路和老营房路交叉口西北角50m"
115,500000557,2,7,"[(116.29178165372764, 39.96786844670048)]",万柳商业区北区,Wanliu Business District North Area,"万柳中路北侧, 距离万泉庄路和万柳中路交叉口东北角50m以内"
116,500000558,2,5,"[(116.30836017144983, 39.98247272069983)]",中关村,Zhongguancun,"海淀大街北侧, 距离未知路名和海淀大街交叉口西北角100m"
117,500000567,2,8,"[(116.37502267076461, 40.00012577420989)]",南沙滩北区,Nanshatan North District,"大屯路东侧, 距离大屯路和大屯路交叉口东南角50m以内"
118,500000573,2,-1,"[(116.34196602376171, 40.0290353104255)]",清河桥北区,Qingheqiao North District,"清河桥北侧, 距离未知路名和清河桥交叉口西北角450m"
119,500000589,2,7,"[(116.34296970185135, 39.967293626939)]",首都体育学院北区,Capital Sports College North Area,"北三环西路北侧, 距离未知路名和北三环西路交叉口西北角200m"
120,500000590,2,5,"[(116.37927385000002, 39.96759435)]",马甸北区,Madian North District,"未知路名东侧, 距离北三环和未知路名交叉口西北角150m"
121,500000591,2,7,"[(116.36256755000002, 39.967501)]",远望楼宾馆,Yuanwanglou Hotel,"北三环中路北侧, 距离未知路名和北三环中路交叉口西北角50m"
122,500000601,2,8,"[(116.32161589999998, 39.9919136)]",文津国际北区,Wenjin International North District,"成府路西侧, 距离未知路名和成府路交叉口西角100m"
123,500000602,2,8,"[(116.34945253443523, 39.99177867121822)]",,,"志新路东侧, 距离成府路和志新路交叉口东角150m"
124,500000611,2,7,"[(116.36149463323545, 40.02985765026851)]",泰欣苑小区,Taixin Yuan Community,"永泰庄东路东侧, 距离龙岗路和永泰庄东路交叉口东角100m"
125,500000612,2,7,"[(116.35374167148743, 40.02826527233777)]",清缘东里,Qingyuan East District,"龙岗路南侧, 距离永泰中路和龙岗路交叉口东南角150m"
126,500000613,2,7,"[(116.34918295847108, 40.02781188305206)]",清缘里社区北区,Qingyuanli North Community,"永泰庄西路东侧, 距离龙岗路和永泰庄西路交叉口东南角150m"
127,500000614,2,7,"[(116.32772738470761, 39.9897953244331)]",中关村第二小学华清分校,Zhongguancun Second Elementary School Huaqing Branch,"中关村东路东侧, 距离东升南路和中关村东路交叉口北角450m"
128,500000616,2,7,"[(116.34282042969416, 39.97457552612714)]",北京中关村科技园区,Beijing Zhongguancun Science Park,"罗庄中路北侧, 距离未知路名和罗庄中路交叉口北角150m"
129,500000617,2,8,"[(116.2902490207574, 39.9732444833341)]",,,"万泉河路南侧, 距离未知路名和万泉河路交叉口西南角150m"
130,500000627,2,5,"[(116.31504724376148, 39.96920115498686)]",北京当代商城,Beijing Contemporary Mall,"中关村大街北侧, 距离北三环西路和中关村大街交叉口北角300m"
131,500000629,2,8,"[(116.34492174999998, 39.96675294999999)]",蓟门里北区,Jimenli North District,"北三环西侧, 距离北三环和北三环交叉口西角700m"
132,500000630,2,5,"[(116.31096249999999, 39.980999749999995)]",中关村,Zhongguancun,"中关村大街北侧, 距离中关村南路和中关村大街交叉口北角100m"
133,500000639,2,5,"[(116.31465917251502, 39.96927381971913)]",北京当代商城,Beijing Contemporary Mall,"中关村大街北侧, 距离北三环西路和中关村大街交叉口北角300m"
134,500000640,2,8,"[(116.35433825598689, 40.00015330154646)]",清华东路周边,Qinghua East Road Surrounding Area,"清华东路东侧, 距离学院路和清华东路交叉口东角500m"
135,500000641,2,8,"[(116.34666092965443, 40.00577094827202)]",学清路北区周边,Xueqing Road North District Surrounding,"学清路北侧, 距离清华东路和学清路交叉口北角600m"
136,500000642,2,8,"[(116.3468039522257, 40.00406116074135)]",北京农大北区,Beijing Agricultural University North Area,"学清路北侧, 距离清华东路和学清路交叉口北角350m"
137,500000643,2,8,"[(116.34692399136254, 40.00158726723622)]",清华东路南区周边,Qinghua East Road South Area周边,"学清路北侧, 距离清华东路和学清路交叉口北角150m"
138,500000644,2,7,"[(116.34779640283121, 40.006887593128695)]",圣熙8号购物中心北区,Shengxi No. 8 Shopping Center North District,"学清路东侧, 距离林业大学北路和学清路交叉口东北角50m"
139,500000645,2,7,"[(116.34778164999999, 40.00802560000001)]",学清路西区周边,Xueqing Road West District Surrounding Area,"学清路东侧, 距离林业大学北路和学清路交叉口东北角150m"
140,500000646,2,7,"[(116.34780745728037, 40.00855490669218)]",中关村东升科技园·学院园,Zhongguancun Dongsheng Science and Technology Park·Academic Park,"学清路东侧, 距离林业大学北路和学清路交叉口东北角150m"
141,500000647,2,7,"[(116.34781744716423, 40.007444423123324)]",圣熙8号购物中心中区,Shengxi No.8 Shopping Center Central District,"学清路东侧, 距离林业大学北路和学清路交叉口东北角50m"
142,500000648,2,7,"[(116.34925013782339, 40.00743969546566)]",圣熙8号购物中心南区,Shengxi 8th Shopping Center South District,"石板房南路北侧, 距离未知路名和石板房南路交叉口西角300m"
143,500000649,2,8,"[(116.34560659867932, 39.998831015896585)]",学院路周边,Xueyuan Road Surrounding Area,"学院路西侧, 距离清华东路和学院路交叉口西南角50m"
144,500000650,2,8,"[(116.34466085783507, 39.998707655620926)]",矿大周边美食街,Food Street near Mining University,"清华东路南侧, 距离王庄路和清华东路交叉口东角900m"
145,500000651,2,8,"[(116.34465425400514, 39.999119281228644)]",清华大学,Tsinghua University,"清华东路西侧, 距离王庄路和清华东路交叉口东角900m"
146,500000652,2,7,"[(116.34581517002444, 40.0000156354001)]",六所大厦,Liuso Building,"学清路西侧, 距离林业大学北路和学清路交叉口南角650m"
147,500000653,2,7,"[(116.34530120837245, 40.000453526795845)]",,,"清华东路北侧, 距离学院路和清华东路交叉口西北角50m"
148,500000654,2,7,"[(116.34583290061848, 40.00056002672708)]",六道口北区,LiudaoKou North District,"学清路南侧, 距离林业大学北路和学清路交叉口南角600m"
149,500000655,2,7,"[(116.34374712828368, 40.00954812285822)]",中公教育总部,The headquarters of Zhonggong Education,"学清路西侧, 距离月泉路和学清路交叉口南角450m"
150,500000656,2,7,"[(116.34470502890507, 40.00947774198853)]",医协医院北区,Medical Association Hospital North District,"学清路西侧, 距离月泉路和学清路交叉口南角450m"
151,500000657,2,7,"[(116.34558696482443, 40.00843961148537)]",学清路东区周边,Xueqing Road East District周边,"学清路南侧, 距离月泉路和学清路交叉口南角500m"
152,500000658,2,7,"[(116.34570769163774, 40.00715047875848)]",学清路中区周边,Xueqing Road Central Area周边,"学清路南侧, 距离月泉路和学清路交叉口南角700m"
153,500000661,2,7,"[(116.32619913507486, 39.974564901533725)]",翠宫写字楼商圈北区,Cui Gong Office Building North Business District,"知春路东侧, 距离科学院南路和知春路交叉口东角550m"
154,500000664,2,5,"[(116.31975800000001, 39.96513435000001)]",双安商场,Shuang'an Shopping Center,"北三环东侧, 距离未知路名和北三环交叉口东角950m"
155,500000665,2,8,"[(116.32483690000001, 39.96318555)]",,,"皂君庙路西侧, 距离北三环西路和皂君庙路交叉口西南角250m"
156,500000666,2,8,"[(116.3240978282364, 39.962426827332614)]",,,"皂君庙路西侧, 距离北三环西路和皂君庙路交叉口西南角350m"
157,500000667,2,5,"[(116.32284802751101, 39.96409754888784)]",双榆树南里社区,Shuangyushu Nanli Community,"北三环西路西侧, 距离未知路名和北三环西路交叉口南角50m"
158,500000668,2,5,"[(116.32148775530273, 39.96335416062143)]",北三环西路40号院周边,40 North Third Ring West Road Surroundings,"北三环西路东侧, 距离未知路名和北三环西路交叉口东南角100m"
159,500000669,2,5,"[(116.32167382371772, 39.96364955352243)]",,,"北三环西路西侧, 距离未知路名和北三环西路交叉口东南角150m"
160,500000670,2,8,"[(116.32580069999999, 39.964472749999985)]",双榆树南里二区北,Ssangyutree South 2nd District North,"北三环西路西侧, 距离未知路名和北三环西路交叉口东南角250m"
161,500000671,2,7,"[(116.31965972788836, 39.962133898911276)]",中监所社区北区,Zhongjian Prison Community North District,"中关村南大街东侧, 距离魏公村路和中关村南大街交叉口北角650m"
162,500000672,2,5,"[(116.32004962442575, 39.96381555210023)]",,,"北三环东侧, 距离未知路名和北三环交叉口东角1000m"
163,500000673,2,8,"[(116.32506385684344, 39.96433907484257)]",双榆树南里二区中,Shuangyushu Nanli Second Area Middle,"北三环西路西侧, 距离未知路名和北三环西路交叉口东南角200m"
164,500000674,2,5,"[(116.3209875769823, 39.963554048527286)]",,,"北三环西路西侧, 距离未知路名和北三环西路交叉口东南角100m"
165,500000675,2,8,"[(116.32590469999997, 39.96410784999999)]",,,"皂君庙路西侧, 距离北三环西路和皂君庙路交叉口西南角150m"
166,500000676,2,5,"[(116.320086434814, 39.96353212236421)]",,,"北三环东侧, 距离未知路名和北三环交叉口东角1000m"
167,500000677,2,7,"[(116.31969549999998, 39.961789599999996)]",,,"中关村南大街东侧, 距离魏公村路和中关村南大街交叉口北角650m"
